< test(1) >
1 870 700
935 708 259
418 557 702
40 524 697
656 757 7
372 201 291
643 449 273
981 776 295
803 989 591
577 96 560
974 190 14
986 985 182
854 755 569
471 684 737
146 386 641
821 456 245
184 91 153
528 611 171
700 36 317
244 243 905
530 694 92
280 371 158
501 282 454
361 295 779
571 875 283
910 658 817
495 516 841
451 874 2
569 183 707
393 811 740
432 188 3
23 140 376
194 827 490
711 324 421
920 675 799
613 747 303
230 81 132
835 2 888
954 408 91
245 98 261
881 470 486
303 108 163
28 106 99
358 189 514
6 2 444
18 217 891
261 665 147
589 300 750
516 679 860
518 315 724
906 560 462
170 473 841
586 752 817
801 327 725
673 900 517
469 961 511
615 734 384
511 745 839
653 876 411
429 807 813
402 507 863
175 909 313
10 163 543
668 933 509
752 785 690
954 994 585
793 849 191
354 231 879
916 912 623
326 231 390
212 638 815
150 291 559
825 810 808
293 744 841
62 362 877
294 1000 512
729 959 217
752 437 158
257 299 299
63 487 877
41 428 283
64 264 460
836 836 418
587 102 571
352 977 69
673 50 285
257 336 937
159 430 987
678 698 331
916 700 304
435 969 912
676 810 808
981 935 607
463 618 621
959 963 161
773 879 224
555 600 31
174 144 808
913 19 518
844 92 796
929 335 288
684 356 958
267 466 184
94 344 704
273 252 472
855 443 447
815 800 84
139 144 381
344 675 438
442 497 162
792 495 301
368 860 677
914 632 621
348 226 412
311 838 94
792 79 836
520 681 215
630 187 190
51 413 292
208 240 877
292 644 329
173 860 370
492 898 630
786 232 564
338 639 208
211 244 222
531 629 563
497 400 80
507 199 698
778 787 109
424 27 294
90 71 346
772 539 31
942 25 223
309 74 691

------ INPUT END --------
------ ANSWER START -----
334765

------ ANSWER END -------
< test(41) >
------ INPUT START ------
651
971 917 760
29 798 8
169 816 647
157 25 611
68 612 921
84 726 6
734 701 298
520 600 738
699 912 782
838 584 759
750 200 224
466 717 219
568 618 273
326 718 129
587 422 774
203 478 778
397 206 47
360 114 517
551 704 291
459 730 143
547 831 19
576 326 610
65 164 708
269 153 841
109 714 385
998 990 601
266 807 252
326 846 617
650 425 498
360 430 916
767 534 706
424 78 432
581 284 186
230 930 120
325 986 891
301 745 663
723 121 175
905 4 311
332 198 950
245 166 736
215 29 378
775 570 394
568 822 959
739 299 984
654 345 269
994 718 110
926 414 626
183 720 140
974 774 218
980 138 717
418 788 110
837 116 233
717 708 620
352 62 424
357 702 865
492 76 373
694 216 807
310 672 339
12 882 203
696 282 284
704 702 367
151 255 862
246 532 28
9 427 611
225 657 918
552 390 664
803 967 209
746 229 51
780 219 351
84 351 915
648 716 381
90 975 209
60 366 870
53 105 471
762 438 395
680 518 669
984 326 571
266 68 86
826 654 951
994 215 403
564 970 76
154 760 619
346 470 219
836 45 642
787 785 132
633 498 484
809 733 231
151 506 63
213 620 690
887 554 848
90 880 748
865 829 749
229 891 82
605 74 778
52 80 972
607 795 443
641 372 254
182 516 356
760 210 192
632 341 638
573 94 477
336 111 412
175 666 304
88 366 790
736 972 336
216 915 247
320 628 67
912 708 615
434 732 158
180 452 65
830 441 35
899 943 968
401 261 561
448 893 928
569 632 632
630 51 488
105 572 29
846 704 886
29 970 416
707 892 255
127 220 418
260 32 888
294 446 502
574 69 139
446 967 33
332 602 13
640 127 974
464 257 818
664 887 118
540 484 507
238 281 224
778 563 368
735 923 821
608 370 391
512 667 169
878 524 406
409 699 431
592 841 959
863 162 233
81 488 437
648 563 377
778 324 999
553 454 246
455 587 698
907 289 456
798 788 151
120 663 759
567 422 665
587 503 221
805 501 101
459 188 883
742 169 545
427 67 472
880 316 964
50 670 790
632 479 245
379 273 11
354 715 963
32 507 378
647 851 465
801 123 280
903 550 214
999 954 2
305 912 55
998 604 487
650 140 536
149 155 252
587 186 234
509 210 727
543 933 861
466 460 681
535 350 15
429 440 106
533 517 655
895 413 810
120 873 808
948 793 112
640 181 530
604 352 792
383 356 22
368 415 253
904 736 823
10 84 222
521 815 363
951 353 83
985 988 913
572 113 805
71 81 243
118 114 115
213 706 192
221 275 673
753 786 469
593 108 34
943 68 998
927 917 593
870 888 937
76 753 803
505 874 858
406 292 925
867 530 928
833 696 561
319 550 3
773 412 710
941 955 565
224 321 123
567 742 139
117 147 897
532 740 444
530 835 644
995 758 945
906 463 747
391 796 287
70 267 919
103 474 827
469 475 854
53 901 230
782 32 852
680 1 696
871 869 878
968 846 172
136 608 635
74 289 99
169 917 196
780 496 92
836 862 933
721 388 519
110 514 400
96 792 998
376 567 50
804 135 749
572 214 305
137 994 687
986 139 794
681 480 75
917 285 524
559 223 147
700 272 167
870 874 7
786 111 668
416 877 370
114 475 212
775 444 824
156 607 685
592 730 29
38 679 643
441 394 645
341 50 287
942 952 560
50 327 306
937 287 17
107 96 464
866 194 43
600 241 458
911 195 444
27 995 443
871 23 686
237 689 948
162 910 252
858 457 523
1000 539 471
216 872 229
840 221 909
150 40 733
862 695 625
172 765 258
44 913 186
341 971 270
610 52 331
514 950 859
778 664 912
733 170 25
588 293 5
599 834 224
656 867 644
833 453 988
764 79 596
657 4 745
198 913 150
68 461 600
489 77 622
439 245 843
237 811 957
308 96 631
441 208 36
921 220 861
389 949 994
705 596 862
824 170 668
170 534 489
256 942 686
321 634 237
336 191 369
27 40 497
475 305 791
527 709 238
124 77 979
327 934 254
314 896 15
671 53 151
713 995 421
674 398 837
96 306 891
132 897 629
977 30 518
449 586 442
231 202 985
284 211 938
705 280 416
951 404 280
991 824 956
328 557 86
919 54 119
46 392 733
821 923 22
460 112 388
658 568 116
306 758 869
151 646 721
509 266 859
145 249 834
871 308 743
828 74 610
503 356 538
973 776 995
303 350 159
803 644 867
527 245 535
784 310 684
204 529 685
667 845 107
883 31 463
936 269 898
218 745 391
861 414 571
95 200 617
465 225 306
755 366 961
400 937 324
641 769 208
836 59 347
736 508 633
673 799 849
527 672 869
569 165 783
756 575 484
146 423 331
811 609 915
830 698 731
912 949 677
313 19 239
285 272 931
526 129 936
147 489 334
228 473 74
845 260 106
180 938 955
696 68 621
573 792 671
863 521 839
611 776 288
471 430 315
440 704 458
266 963 710
648 745 895
196 78 555
803 998 783
946 56 391
749 184 27
599 947 2
263 95 760
252 811 252
288 805 474
55 506 633
309 234 328
53 354 59
742 497 820
72 278 981
4 694 529
775 879 820
340 695 286
427 429 778
578 377 263
374 251 662
415 705 30
40 552 954
194 878 204
726 38 30
229 966 210
88 419 618
231 542 356
108 640 783
832 819 562
707 211 686
129 273 258
644 619 389
355 14 832
354 415 394
51 52 705
464 417 887
299 294 188
899 941 173
428 695 308
169 694 675
776 947 91
33 770 121
172 439 374
823 304 893
682 238 543
225 275 877
351 916 144
702 303 806
445 229 181
595 157 410
339 547 31
774 18 651
812 272 8
821 166 136
912 88 756
14 142 991
417 25 193
175 242 973
256 361 170
368 935 48
355 109 19
888 966 832
176 658 849
887 967 621
763 301 445
127 760 422
633 824 264
992 84 767
736 388 921
906 974 613
812 916 500
524 460 826
121 192 234
444 941 494
397 720 953
703 543 171
407 364 52
800 104 228
170 29 221
360 839 367
895 784 481
688 493 412
14 238 318
873 260 65
84 885 19
968 845 701
173 426 367
228 763 61
966 61 330
462 601 783
998 202 608
347 835 130
119 418 289
782 431 494
642 629 905
264 188 304
559 71 935
851 326 469
448 258 394
235 232 379
233 492 845
221 886 506
629 711 236
331 183 823
94 169 107
900 977 937
719 153 444
401 206 167
385 741 656
155 591 205
156 988 730
64 619 19
514 80 914
695 822 643
91 650 258
106 974 354
172 672 765
291 401 908
181 64 873
769 804 288
590 42 412
800 590 788
46 240 740
401 101 927
620 653 295
945 589 16
938 905 177
272 882 898
619 635 671
25 219 776
558 3 416
134 55 708
635 782 522
371 394 129
346 659 442
530 475 59
506 366 826
11 565 227
990 901 618
969 823 73
956 933 859
560 518 122
612 682 286
294 356 949
869 51 849
634 1 768
103 569 122
871 857 429
709 234 271
143 991 499
869 285 865
149 208 70
274 149 791
744 144 305
661 575 186
147 956 205
939 495 706
63 827 593
780 26 791
616 270 938
157 50 268
494 375 711
315 175 15
124 849 738
614 27 300
669 893 118
457 748 520
870 499 772
2 759 337
672 850 639
734 924 639
912 214 763
896 656 779
735 559 77
555 182 749
108 153 259
753 856 786
797 617 421
728 256 100
947 868 355
954 233 306
210 981 667
736 120 764
216 656 513
813 954 5
782 723 752
528 753 30
127 452 451
104 733 712
27 151 453
884 687 737
872 435 273
750 580 814
1000 553 473
305 509 603
929 350 43
950 336 876
459 69 937
354 838 237
505 202 602
846 286 117
247 255 219
997 113 345
432 905 222
467 491 85
810 720 390
790 960 868
585 185 665
626 726 469
256 254 920
621 31 6
404 525 826
894 302 83
680 443 405
939 699 334
756 434 142
879 344 465
245 5 139
862 516 216
524 612 552
82 205 67
230 151 882
917 726 396
704 996 306
793 288 613
967 478 825
583 329 297
9 372 272
309 335 443
747 528 652
116 445 728
5 171 300
304 221 169
992 383 98
176 774 576
350 295 188
187 391 798
657 249 623
300 971 601
617 853 931
717 95 884
954 451 907
71 673 711
111 821 134
962 686 81
943 500 307
325 981 718
218 88 115
262 117 120
129 813 315
62 80 27
804 29 528
951 212 244
667 706 562
372 969 744
245 694 575
896 371 301
652 518 899
761 161 448
850 492 135
762 950 693
863 681 833
313 886 699
390 191 768
455 116 4
707 892 616
257 522 67
653 201 346
490 735 266
144 66 392
299 672 911
439 709 548
914 230 774
540 616 394
452 272 976
44 289 726
349 241 724
958 235 479
96 868 848
269 974 891
513 974 951
368 214 578
609 232 350
692 161 461
958 347 441
739 713 747
910 67 476
160 63 102

------ INPUT END --------
------ ANSWER START -----
456881

------ ANSWER END -------
< test(42) >
------ INPUT START ------
631
993 972 955
497 354 365
378 271 202
947 318 972
310 191 770
910 122 295
493 364 502
526 584 448
641 357 541
507 407 44
75 781 444
10 843 332
414 716 911
212 329 494
232 266 769
390 123 665
228 717 161
803 325 684
907 7 60
378 388 723
978 322 218
173 989 853
458 697 103
653 236 881
138 572 764
299 139 884
901 418 183
527 436 927
645 645 336
349 722 668
301 457 855
306 244 494
304 817 772
573 81 311
169 532 335
782 109 694
934 201 660
514 96 435
134 946 386
408 595 881
681 651 74
345 455 588
91 59 304
517 862 507
32 354 17
508 453 961
859 540 648
374 628 704
440 12 49
486 571 145
330 177 942
152 450 467
443 745 311
14 685 458
909 442 857
983 245 3
295 146 835
57 451 534
317 121 929
484 344 426
477 472 449
858 922 873
581 581 121
180 649 191
596 474 391
79 852 180
635 323 601
949 71 317
884 920 877
975 874 206
575 217 938
943 776 319
955 28 526
395 539 299
163 348 309
746 509 795
570 612 135
850 305 874
394 401 983
671 319 900
818 468 720
166 524 96
660 645 587
127 319 230
898 541 295
584 172 875
904 959 962
539 706 803
19 82 761
622 992 949
131 828 206
569 821 70
568 222 322
538 846 685
218 617 106
506 133 953
398 76 442
802 272 780
533 33 783
973 478 703
84 44 703
176 623 520
113 294 534
89 381 63
212 371 289
131 306 24
285 928 50
431 260 691
779 608 184
34 626 895
409 588 890
358 429 924
665 982 87
85 752 434
700 590 687
69 654 659
464 332 425
832 843 755
641 746 148
63 873 991
861 445 102
909 506 454
596 567 606
328 457 745
834 880 125
193 847 710
137 622 24
413 535 873
93 236 45
911 173 377
311 873 171
947 662 972
422 961 770
71 246 229
1000 565 710
811 301 945
556 38 49
45 467 984
334 341 584
213 492 68
935 790 171
275 317 365
149 44 599
201 183 940
596 700 216
39 689 431
208 500 39
376 978 156
309 746 896
659 229 320
976 690 908
292 248 315
531 712 201
715 925 575
261 861 500
70 855 779
933 769 707
622 109 682
392 590 268
867 26 869
31 238 6
392 933 661
755 250 609
500 741 146
54 966 669
447 903 539
350 837 960
344 568 676
987 269 910
247 563 428
13 383 515
210 439 811
652 631 546
968 740 838
462 392 252
205 809 517
772 283 520
103 897 998
625 469 63
388 145 401
280 901 920
421 537 938
885 337 120
970 244 260
660 119 344
931 302 803
860 44 385
419 323 512
534 797 62
170 544 185
779 51 134
131 637 594
788 440 958
493 109 985
184 361 397
828 314 570
899 587 490
517 28 987
818 506 677
565 406 262
932 599 878
528 98 788
805 299 284
905 346 453
533 95 687
211 651 721
993 146 389
146 348 354
551 477 830
439 827 38
977 559 656
729 622 211
923 981 509
129 422 384
847 82 621
428 425 21
277 120 670
70 222 913
123 988 811
812 56 226
671 208 37
761 866 520
899 747 29
536 517 534
96 210 810
802 46 252
948 600 392
700 440 245
750 444 191
120 311 287
822 232 391
508 201 776
880 484 352
452 903 818
30 723 996
636 497 561
566 9 38
7 802 493
390 206 289
571 571 826
194 9 290
547 590 355
96 717 546
55 49 445
278 790 198
864 573 315
258 631 97
126 398 771
170 55 4
985 75 464
290 330 98
618 667 680
799 533 198
509 681 665
755 353 659
294 517 529
160 700 361
157 906 121
477 264 14
397 342 611
283 892 409
815 66 471
709 425 457
603 142 715
35 947 160
114 364 323
489 752 74
596 786 905
747 681 561
201 255 276
590 633 747
222 249 495
399 582 168
278 809 394
789 193 214
56 521 501
777 888 272
387 188 169
686 31 385
687 838 554
660 933 428
327 462 54
351 111 882
587 737 570
937 157 380
548 292 830
521 725 257
557 380 653
581 539 115
814 361 133
15 951 79
951 918 951
776 27 309
142 630 509
899 21 112
100 887 34
666 302 866
867 644 484
115 136 293
38 743 820
968 951 306
761 276 705
351 638 434
341 514 8
189 314 168
662 137 727
178 301 606
62 270 578
763 274 800
201 918 774
507 624 509
792 281 666
630 482 835
941 266 459
416 373 92
323 734 147
185 531 802
6 986 141
416 917 956
865 978 304
245 505 67
936 698 841
246 86 632
951 222 576
282 20 748
760 828 608
432 199 623
377 461 179
313 824 424
978 620 651
246 743 692
136 379 25
945 535 776
405 477 298
172 785 776
760 583 365
626 697 14
75 474 983
515 554 544
368 570 961
622 433 67
812 686 66
879 149 694
20 147 322
438 66 810
33 471 821
22 397 4
882 603 533
668 237 950
898 492 425
521 629 414
919 56 997
35 260 893
94 146 137
547 808 378
653 415 209
552 875 457
863 653 341
571 348 7
405 356 223
106 258 304
63 478 226
620 54 181
956 338 350
768 630 112
118 123 599
454 975 58
167 971 322
114 61 578
292 338 434
512 784 706
802 140 365
482 616 121
653 973 848
586 405 484
866 608 997
855 457 246
195 714 351
769 445 553
438 597 447
197 241 737
373 448 6
614 673 621
300 229 422
883 224 347
719 462 899
126 770 257
468 377 470
76 85 874
7 480 450
719 836 852
963 591 185
788 527 413
525 704 644
43 495 406
259 728 753
895 719 631
541 113 142
719 558 891
731 875 797
705 795 762
490 733 660
120 913 954
709 746 581
507 364 166
41 121 463
962 735 766
328 44 424
997 349 629
814 622 994
30 420 718
268 963 771
888 970 311
597 595 55
544 550 250
546 307 258
697 911 172
802 259 353
378 598 383
72 350 149
768 442 55
368 307 431
646 314 613
487 885 953
514 843 568
50 129 941
783 453 979
427 723 887
24 738 527
45 754 318
246 34 372
191 489 744
431 546 988
808 873 295
304 438 539
309 833 441
787 173 854
815 321 263
354 15 751
206 596 666
162 131 353
130 902 739
532 891 895
830 861 793
80 359 87
692 654 307
228 819 982
306 479 602
849 281 547
62 27 428
428 871 755
137 158 867
799 847 919
665 873 415
878 332 761
878 193 62
247 106 157
580 687 787
33 285 93
962 227 145
292 697 859
88 675 427
414 934 556
510 624 808
874 493 506
256 189 140
613 324 532
170 36 901
613 775 782
740 329 555
549 660 971
437 330 172
392 455 580
764 716 552
450 920 630
465 285 225
781 31 875
94 500 467
987 321 809
523 186 804
59 99 286
368 38 30
180 464 543
451 444 905
625 167 383
995 710 317
719 831 192
756 509 784
439 805 921
707 690 979
401 646 898
557 748 613
35 668 757
787 127 146
448 729 95
247 45 314
927 160 621
699 279 3
497 119 829
634 706 982
208 810 869
868 24 737
898 219 152
417 547 306
998 792 276
501 305 350
983 707 151
368 857 200
662 94 1000
280 822 96
292 481 393
135 684 216
544 984 843
973 124 438
481 650 713
411 544 977
200 42 645
158 767 542
775 236 946
516 284 982
325 88 415
868 336 811
285 117 523
203 777 435
492 166 880
826 519 776
917 940 935
838 973 164
89 864 921
141 316 747
643 879 614
818 496 760
327 603 457
861 225 797
51 467 582
263 275 275
213 594 468
269 957 495
594 845 788
975 950 83
693 904 697
448 48 498
856 566 300
996 379 262
57 945 913
727 572 736
62 386 228
567 893 863
586 238 872
969 188 999
167 868 736
844 653 407
66 213 600
288 561 750
513 313 459
655 546 883
754 805 147
169 387 213
585 387 342
971 311 709
2 79 673
361 31 533
688 789 653
184 917 230
181 50 818
280 689 845
338 948 316
967 749 248
263 286 317
59 571 786
841 529 442
4 483 669
988 112 381
564 700 368
890 848 917
348 449 347
371 39 188
580 439 218
112 280 684
801 910 587
767 867 988
887 812 967
496 163 36
916 24 532
484 567 936
181 493 129
657 461 896
853 8 745
200 293 479
493 459 729
130 755 382
840 223 10
988 905 669
836 851 29
951 365 971
561 629 991
495 47 233
520 400 308
621 781 371
476 1 391
40 112 160
796 992 482
251 309 577
474 946 712
124 228 685
531 812 476
354 740 452
500 673 318
689 93 979
414 885 745
812 246 846
446 605 832
315 180 32
481 199 705
158 3 321
534 634 758
41 192 583
542 527 294
207 732 214
429 935 169
505 701 952
444 263 143
5 65 895
323 932 405
471 534 703
154 632 821
319 964 558
696 188 532
860 146 197
672 30 877
900 418 752

------ INPUT END --------
------ ANSWER START -----
439083

------ ANSWER END -------
< test(43) >
------ INPUT START ------
754
193 973 35
658 943 792
931 201 120
757 513 158
330 564 513
942 660 906
610 256 828
738 669 630
337 148 110
870 453 269
36 351 605
544 412 890
123 944 88
657 972 162
780 778 142
105 604 709
187 950 517
930 589 945
268 975 83
126 519 841
492 38 380
735 576 885
158 361 965
298 201 810
417 977 921
615 817 242
885 806 782
588 768 777
451 698 845
68 138 977
700 122 25
774 799 63
503 581 873
980 615 13
532 934 132
943 742 656
94 734 119
798 84 953
941 173 609
362 134 545
225 534 319
393 981 377
999 687 291
994 878 868
139 536 787
792 270 583
39 364 575
621 871 870
850 779 664
421 490 791
404 66 878
602 508 159
833 860 393
877 627 309
727 614 788
356 198 414
763 705 375
715 182 360
234 103 33
25 936 503
116 595 943
137 731 471
839 195 822
946 76 708
453 403 59
442 158 245
601 607 555
453 478 858
759 66 166
562 81 12
218 516 795
779 541 296
781 528 962
889 31 391
60 970 760
521 985 564
628 463 282
209 650 781
527 563 825
222 298 528
713 278 551
654 930 883
29 539 137
196 429 491
512 396 361
825 829 535
866 422 147
524 766 396
212 724 5
620 888 384
818 949 467
189 757 652
948 208 458
996 331 614
524 688 587
181 630 275
749 904 716
601 738 55
955 268 604
927 990 823
660 121 406
162 138 849
23 551 449
326 874 700
283 57 647
908 907 811
741 561 779
19 252 337
99 725 525
444 88 99
675 553 306
190 713 465
183 725 897
717 19 551
274 272 735
582 231 268
638 12 224
454 764 10
158 202 914
249 867 781
787 342 587
899 41 601
423 25 359
635 661 750
629 164 716
566 848 630
451 243 443
84 482 468
44 717 686
266 237 396
690 308 927
12 578 954
958 770 336
592 341 712
455 901 667
140 568 532
915 744 255
118 164 429
982 11 120
673 511 118
42 91 846
408 674 457
172 461 384
20 992 330
809 935 329
957 607 935
830 258 875
456 437 128
762 573 770
6 734 271
403 148 194
470 823 465
20 546 697
60 203 574
531 819 861
9 766 618
72 54 449
527 407 989
881 444 170
131 191 594
284 183 277
886 826 55
616 85 919
278 463 775
659 280 127
781 214 720
99 738 799
598 817 131
760 116 133
871 405 17
971 10 348
827 551 360
927 374 738
463 730 797
998 9 179
871 703 673
98 111 66
875 716 201
607 68 280
142 638 28
37 917 657
491 388 886
75 474 433
196 391 811
467 962 205
771 187 216
160 539 833
147 417 858
957 46 303
467 74 609
102 854 698
422 823 487
716 292 770
336 496 214
249 729 293
354 872 613
85 269 365
477 606 644
957 153 190
388 405 42
643 955 972
640 734 198
601 816 303
948 583 705
317 702 253
523 579 318
848 653 193
68 499 190
133 434 863
530 704 277
891 806 293
49 387 502
757 240 33
938 831 419
613 83 634
897 711 547
310 762 970
378 608 997
546 17 805
2 661 969
212 85 674
413 152 166
387 83 51
71 146 197
710 642 716
423 727 11
830 683 407
474 102 113
658 915 606
377 484 383
224 218 285
86 945 224
457 482 495
226 169 242
469 912 888
579 198 482
91 918 883
386 724 34
759 431 357
775 855 812
289 509 271
475 914 729
965 953 505
867 526 52
366 890 143
977 850 302
883 147 969
397 331 354
701 253 817
180 39 729
423 967 748
140 427 595
65 110 604
471 217 578
427 579 871
968 435 467
14 518 222
780 504 351
801 493 935
781 909 209
524 830 231
721 924 433
804 900 827
320 799 182
967 234 513
724 185 176
153 468 885
758 580 12
747 506 902
684 322 629
870 353 418
176 763 999
437 386 288
832 529 968
126 374 215
905 678 423
486 366 380
797 107 611
280 757 465
15 65 816
341 24 150
946 940 510
488 501 196
28 841 551
794 186 387
454 769 264
562 890 409
687 583 236
279 80 757
527 32 592
693 670 582
755 298 703
649 771 371
991 113 135
653 203 994
987 441 491
81 889 407
281 897 14
542 258 784
381 129 149
514 4 392
794 642 503
513 9 936
665 749 459
281 936 504
130 201 983
94 261 378
242 521 898
601 377 656
639 608 319
190 1000 926
667 493 32
46 598 348
605 909 223
116 81 549
706 976 130
244 433 370
662 5 959
927 318 209
662 275 277
668 396 408
952 760 831
234 211 678
38 216 143
725 319 173
168 200 371
893 902 369
54 933 9
483 421 563
942 634 969
780 964 261
859 7 657
75 573 822
174 992 766
786 179 682
360 370 468
145 892 151
496 903 167
143 29 198
940 632 151
851 533 561
160 112 295
130 777 908
15 649 128
85 689 3
880 423 629
204 225 98
482 309 803
396 270 502
89 659 486
447 203 780
661 734 854
226 631 323
418 933 57
401 936 692
273 165 683
359 667 148
277 791 435
322 421 681
986 82 525
762 762 62
670 585 548
665 986 507
109 384 256
219 398 442
975 765 772
941 7 168
442 251 278
574 292 716
682 379 115
252 146 550
85 991 812
100 366 929
214 328 568
855 241 157
806 855 528
736 782 652
42 430 470
84 873 607
825 341 832
642 695 739
13 836 1
561 249 752
146 794 113
585 713 178
536 984 29
447 451 157
852 876 555
103 846 760
229 301 884
295 467 8
873 40 828
636 107 96
98 670 829
26 499 884
761 458 970
475 781 593
146 855 402
108 445 113
359 647 747
678 399 946
144 74 632
560 59 703
680 376 15
431 74 848
887 731 389
17 553 729
977 107 962
217 77 103
269 453 629
637 611 478
925 859 19
193 653 41
986 119 131
213 551 82
392 645 850
559 880 315
872 579 571
226 394 253
957 288 780
722 872 72
525 160 347
828 386 231
903 904 4
133 261 266
598 416 481
745 622 559
507 519 524
575 235 572
962 133 410
169 543 182
731 780 1000
200 346 337
228 292 267
96 199 140
537 357 607
516 790 594
666 189 55
714 642 213
95 706 192
281 519 708
802 684 596
829 466 970
323 344 963
440 433 11
935 869 281
161 537 811
933 310 908
942 289 837
824 557 795
901 319 305
615 778 622
828 976 805
336 801 72
230 727 383
4 995 475
489 865 467
949 594 989
834 239 375
777 217 98
434 784 63
722 679 279
754 284 938
392 585 402
818 919 942
783 125 986
200 23 756
827 858 172
270 377 736
745 632 826
371 745 554
367 674 693
663 40 934
125 865 240
501 366 536
908 22 419
36 530 888
908 61 4
414 282 291
120 392 306
733 233 411
971 857 794
197 738 417
519 854 359
15 965 172
491 712 7
256 241 320
171 347 235
205 78 581
437 300 428
352 349 209
766 823 700
747 56 75
507 307 555
73 906 332
896 60 232
213 513 727
593 86 667
190 221 422
765 474 755
315 230 968
550 261 192
836 778 650
398 701 720
453 655 505
980 428 775
846 662 715
771 149 876
644 350 686
479 836 418
893 409 710
126 591 887
664 743 642
176 336 305
777 661 410
984 765 332
323 529 755
369 862 195
211 228 590
649 531 173
290 304 153
621 149 211
355 881 2
637 107 963
238 240 129
452 39 485
111 77 464
134 988 930
96 245 391
142 917 891
468 649 873
294 245 954
56 990 116
148 177 22
300 506 686
320 917 974
559 210 557
499 35 949
247 79 559
429 100 930
283 724 901
244 474 985
775 900 19
130 986 731
832 810 956
573 980 150
546 833 615
791 873 586
999 299 82
807 950 53
867 816 149
284 475 820
561 254 965
95 722 53
451 429 930
675 631 993
124 497 422
748 414 942
747 269 344
962 141 447
367 398 60
102 29 974
413 748 948
703 845 691
328 140 827
999 932 468
168 611 140
6 380 559
692 59 446
965 778 84
331 503 513
305 584 657
763 160 347
872 704 515
354 10 252
181 792 185
999 830 410
175 469 970
752 896 62
58 598 552
716 34 793
191 549 882
90 685 608
752 144 588
184 381 253
701 627 718
381 891 601
329 841 518
546 551 145
726 747 255
97 475 532
423 997 130
50 231 317
670 834 998
978 792 368
815 560 288
822 855 132
105 851 921
281 209 633
655 235 496
862 402 216
622 588 287
474 197 508
524 412 428
748 244 887
904 638 610
989 54 82
438 859 722
150 190 300
584 727 504
347 433 633
290 40 303
56 519 946
715 183 444
538 976 696
697 172 568
597 88 818
798 721 883
119 49 252
342 114 795
304 656 952
862 492 232
565 403 35
486 560 428
53 743 517
94 691 894
917 493 359
199 974 38
123 641 517
10 238 764
91 548 256
173 485 48
949 849 945
170 822 682
692 749 412
3 310 15
32 123 241
467 225 274
766 940 82
382 394 912
84 447 314
312 646 698
336 850 159
672 313 679
143 154 969
655 680 961
617 439 956
708 554 119
421 176 785
255 220 239
193 606 442
924 389 558
60 561 646
140 677 552
225 525 411
731 104 680
830 404 692
519 230 924
197 434 776
207 427 140
766 165 206
719 635 23
958 763 732
832 861 864
130 191 965
749 963 764
363 920 620
20 738 16
90 404 101
94 119 617
820 439 38
690 313 62
892 97 184
448 616 574
271 80 116
61 118 694
111 905 905
578 50 670
7 10 522
80 532 529
540 15 83
548 775 415
721 446 981
638 967 670
970 706 40
777 765 312
184 509 518
997 853 319
847 572 23
497 255 957
460 936 49
558 936 61
814 586 938
458 953 341
527 650 384
139 881 608
407 614 792
258 807 278
447 832 846
819 687 173
973 404 971
836 935 577
72 541 591
335 794 447
156 762 649
351 390 398
730 698 83
127 63 603
669 546 225
393 260 597
495 657 789
483 717 154
60 406 28
637 648 2
563 697 234
591 240 110
281 493 415
466 315 656
344 961 938
415 975 369
772 445 118
983 429 183
375 806 483
854 863 649
411 450 633
651 802 239
939 311 425
637 371 516
427 466 533
792 598 64
118 900 405
306 541 705
557 902 87
635 980 790
466 3 492
150 96 79
828 71 832
451 584 601
918 602 766
554 14 491
901 220 854
493 520 554
925 769 1
114 726 241
37 582 909
399 314 972
925 571 5
53 70 651
648 818 384
668 655 710
871 600 159
576 617 367
220 822 22
714 794 149

------ INPUT END --------
------ ANSWER START -----
526473

------ ANSWER END -------
< test(44) >
------ INPUT START ------
286
476 839 501
136 812 236
133 916 524
135 702 634
913 711 944
632 457 609
49 445 2
47 991 529
863 44 438
407 291 741
862 52 30
193 723 822
509 646 627
209 799 413
202 886 314
592 691 847
975 209 922
290 916 283
81 785 223
630 501 564
360 674 429
638 128 974
722 498 321
259 949 475
30 890 949
876 754 346
817 251 209
166 691 939
13 129 353
1000 692 93
257 947 122
711 858 747
566 740 152
467 609 336
894 950 797
818 603 577
841 482 572
436 819 347
919 826 412
726 896 915
285 649 693
268 36 629
603 183 617
697 846 385
186 485 886
660 258 395
475 383 689
927 740 998
375 483 951
282 576 745
886 779 520
135 42 916
131 713 770
128 261 241
58 872 506
658 247 179
981 158 826
143 871 564
844 762 646
395 418 152
145 558 263
808 623 373
537 528 552
409 369 538
98 886 949
214 780 134
949 980 254
349 450 925
912 671 206
780 870 215
449 681 123
906 945 474
119 485 840
876 77 825
467 998 301
597 874 677
300 912 29
170 488 757
884 552 953
437 312 126
894 398 540
422 967 467
62 377 371
744 335 325
500 781 74
232 526 199
491 279 17
429 746 123
291 903 92
891 466 698
612 451 870
179 79 808
500 71 112
142 565 815
427 866 655
293 335 649
258 836 350
102 604 595
192 438 227
954 518 953
896 810 888
308 758 30
652 636 282
956 659 194
508 771 55
295 249 313
223 537 580
762 207 654
760 207 647
851 223 248
881 294 382
762 701 410
579 521 506
26 903 226
593 89 870
953 983 578
221 59 873
982 805 812
633 694 149
422 191 781
142 680 194
638 374 35
